ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,,Average,Standard error
ROI#2,Within_N,0.361551,-0.000383,-0.293383,-0.055655,0.318101,0.193699,-0.351444,0.206410,-0.022479,0.009016,0.156987,-0.525051,-0.078709,0.367671,0.006046,0.353837,,0.040388,0.066650
ROI#2,Within_AJ,0.267172,0.027422,-0.069983,-0.208025,0.268200,0.131157,-0.379541,0.235157,-0.018020,-0.033332,0.192952,-0.397442,-0.030884,0.355322,-0.020948,0.319614,,0.039926,0.058084
ROI#2,Within_V,0.294299,-0.038965,-0.157015,-0.046176,0.338969,0.177041,-0.365498,0.141563,-0.004125,-0.105465,0.155192,-0.528152,-0.079414,0.272591,-0.052997,0.321240,,0.020193,0.061544
ROI#2,Within_AV,0.194479,-0.001114,-0.113499,-0.061485,0.348386,0.123489,-0.357736,0.204475,0.048158,-0.132920,0.185312,-0.489929,-0.147994,0.239798,-0.050702,0.281477,,0.016887,0.058163
ROI#2,Within_FW,0.257130,0.034594,-0.117861,-0.102819,0.346809,0.217866,-0.266632,0.193340,0.151017,0.126284,0.163708,-0.368006,0.036617,0.089075,-0.085915,0.529397,,0.075288,0.056833
ROI#2,Between_N_AJ,0.302505,0.005570,-0.148819,-0.138162,0.304040,0.159410,-0.368771,0.224377,-0.034092,-0.057451,0.177295,-0.487233,-0.068361,0.360036,-0.021430,0.343376,,0.034518,0.062712
ROI#2,Between_N_V,0.315521,-0.021897,-0.244192,-0.069848,0.326070,0.175477,-0.363105,0.166521,-0.039908,-0.076088,0.124120,-0.537114,-0.091019,0.324002,-0.021756,0.333989,,0.018798,0.064295
ROI#2,Between_N_AV,0.267347,-0.000724,-0.209482,-0.090843,0.329396,0.141441,-0.357301,0.194579,-0.035357,-0.085799,0.129408,-0.512474,-0.129385,0.312890,-0.027268,0.318139,,0.015285,0.061863
ROI#2,Between_N_FW,0.315097,0.021881,-0.233051,-0.113584,0.331019,0.181915,-0.315965,0.189731,0.012707,0.024654,0.125125,-0.477347,-0.081933,0.218643,-0.057210,0.436129,,0.036113,0.061809
ROI#2,Between_AJ_N,0.302505,0.005570,-0.148819,-0.138162,0.304040,0.159410,-0.368771,0.224377,-0.034092,-0.057451,0.177295,-0.487233,-0.068361,0.360036,-0.021430,0.343376,,0.034518,0.062712
ROI#2,Between_AJ_V,0.278650,-0.010821,-0.099219,-0.129166,0.311034,0.167876,-0.380823,0.199159,-0.027565,-0.070433,0.153983,-0.464914,-0.052821,0.325115,-0.040107,0.319419,,0.029961,0.059765
ROI#2,Between_AJ_AV,0.231175,0.007172,-0.090330,-0.141961,0.321030,0.129514,-0.368872,0.216718,0.013169,-0.084250,0.161634,-0.471236,-0.083297,0.311728,-0.029724,0.303546,,0.026626,0.058663
ROI#2,Between_AJ_FW,0.278979,0.019234,-0.095831,-0.175662,0.313875,0.185361,-0.333007,0.209497,0.035095,0.055112,0.149928,-0.385940,-0.029857,0.213472,-0.059248,0.406807,,0.049239,0.056209
ROI#2,Between_V_N,0.315521,-0.021897,-0.244192,-0.069848,0.326070,0.175477,-0.363105,0.166521,-0.039908,-0.076088,0.124120,-0.537114,-0.091019,0.324002,-0.021756,0.333989,,0.018798,0.064295
